2024-01-01 00:00:00,시내 버스,2024-01-01 01:36:00
2024-01-01 03:07:00,지하철 8호선,2024-01-01 04:07:00
2024-01-01 04:59:00,시내 버스,2024-01-01 05:58:00
2024-01-01 07:20:00,지하철 4호선,2024-01-01 08:40:00
2024-01-01 09:42:00,광역 버스,2024-01-01 11:19:00
2024-01-01 12:23:00,시내 버스,2024-01-01 13:00:00
2024-01-01 14:27:00,광역 버스,2024-01-01 16:13:00
2024-01-01 17:49:00,마을 버스,2024-01-01 18:25:00
2024-01-01 20:25:00,지하철 3호선,2024-01-01 21:16:00
2024-01-01 21:57:00,지하철 8호선,2024-01-01 22:42:00
2024-01-02 00:37:00,시내 버스,2024-01-02 01:18:00
2024-01-02 03:04:00,지하철 3호선,2024-01-02 04:43:00
2024-01-02 05:41:00,광역 버스,2024-01-02 06:51:00
2024-01-02 07:52:00,광역 버스,2024-01-02 08:08:00
2024-01-02 09:01:00,시내 버스,2024-01-02 09:37:00
2024-01-02 10:35:00,지하철 7호선,2024-01-02 11:48:00
2024-01-02 12:47:00,광역 버스,2024-01-02 13:15:00
2024-01-02 13:21:00,광역 버스,2024-01-02 13:59:00
2024-01-02 15:42:00,광역 버스,2024-01-02 17:39:00
2024-01-02 17:55:00,마을 버스,2024-01-02 18:47:00
2024-01-02 20:18:00,광역 버스,2024-01-02 21:11:00
2024-01-02 21:14:00,마을 버스,2024-01-02 22:22:00
2024-01-03 00:21:00,광역 버스,2024-01-03 02:16:00
2024-01-03 03:18:00,지하철 5호선,2024-01-03 04:14:00
2024-01-03 05:25:00,광역 버스,2024-01-03 05:39:00
2024-01-03 07:32:00,광역 버스,2024-01-03 09:30:00
2024-01-03 11:17:00,지하철 8호선,2024-01-03 13:01:00
2024-01-03 14:41:00,시내 버스,2024-01-03 16:19:00
2024-01-03 17:06:00,광역 버스,2024-01-03 18:00:00
2024-01-03 18:02:00,지하철 6호선,2024-01-03 19:02:00
2024-01-03 20:29:00,광역 버스,2024-01-03 21:44:00
2024-01-03 23:27:00,마을 버스,2024-01-04 00:50:00
2024-01-04 02:45:00,마을 버스,2024-01-04 04:06:00
2024-01-04 05:44:00,광역 버스,2024-01-04 06:04:00
2024-01-04 06:31:00,지하철 5호선,2024-01-04 07:15:00
2024-01-04 09:05:00,마을 버스,2024-01-04 09:25:00
2024-01-04 10:20:00,시내 버스,2024-01-04 12:16:00
2024-01-04 13:17:00,광역 버스,2024-01-04 14:55:00
2024-01-04 16:09:00,지하철 5호선,2024-01-04 16:59:00
2024-01-04 17:17:00,마을 버스,2024-01-04 18:53:00
2024-01-04 20:35:00,지하철 5호선,2024-01-04 21:12:00
2024-01-04 22:56:00,마을 버스,2024-01-05 00:18:00
2024-01-05 01:01:00,마을 버스,2024-01-05 02:31:00
2024-01-05 03:49:00,마을 버스,2024-01-05 05:06:00
2024-01-05 05:32:00,지하철 9호선,2024-01-05 06:28:00
2024-01-05 06:57:00,시내 버스,2024-01-05 08:14:00
2024-01-05 09:52:00,마을 버스,2024-01-05 10:35:00
2024-01-05 12:34:00,광역 버스,2024-01-05 13:10:00
2024-01-05 13:35:00,시내 버스,2024-01-05 14:14:00
2024-01-05 15:59:00,마을 버스,2024-01-05 16:47:00
2024-01-05 18:06:00,마을 버스,2024-01-05 18:58:00
2024-01-05 20:26:00,마을 버스,2024-01-05 22:11:00
2024-01-05 22:55:00,시내 버스,2024-01-05 23:30:00
